46168:
 num     #instances         #bytes  class name (module)
 218:          4342          69472  java.util.concurrent.atomic.AtomicBoolean (java.base@21.0.8)
 219:          4330          69280  java.util.regex.Pattern$$Lambda/0x800000057 (java.base@21.0.8)
 220:          1442          69216  java.lang.invoke.MethodHandleImpl$AsVarargsCollector (java.base@21.0.8)
 221:          2884          69216  org.languagetool.rules.SuggestionWithMessage
 222:          1711          68440  com.intellij.util.containers.ConcurrentWeakKeySoftValueHashMap$WeakKey
 223:          2851          68424  java.util.regex.Pattern$Start (java.base@21.0.8)
 224:          1406          67488  com.intellij.openapi.components.ServiceDescriptor
 225:          1386          66528  kotlinx.coroutines.debug.internal.DebugCoroutineInfoImpl
 226:          1375          66000  kotlinx.coroutines.CancellableContinuationImpl
 227:            19          65864  [Ljava.nio.channels.SelectionKey; (java.base@21.0.8)
 228:             3          65648  [Ljava.lang.Comparable; (java.base@21.0.8)
 229:          2726          65424  kotlin.reflect.jvm.internal.impl.protobuf.SmallSortedMap$Entry
 230:          4088          65408  java.util.HashSet (java.base@21.0.8)
 231:           743          65384  com.intellij.ide.plugins.ContentModuleDescriptor
 232:          2704          64896  java.util.regex.Pattern$$Lambda/0x80000005c (java.base@21.0.8)
 233:          2024          64768  com.intellij.openapi.actionSystem.impl.ActionManagerImpl$$Lambda/0x00000098024626f8
 234:          1616          64640  ai.grazie.rules.tree.PatternHint$Disjunct
 235:          2683          64392  com.intellij.util.indexing.impl.ValueContainerImpl
 236:          2673          64152  com.intellij.util.keyFMap.OneElementFMap
 237:          1602          64080  kotlin.reflect.jvm.internal.impl.km.KmType
 238:          1141          63896  it.unimi.dsi.fastutil.objects.ObjectLinkedOpenHashSet
 239:          3282          62528  [Lsun.reflect.generics.tree.TypeArgument; (java.base@21.0.8)
 240:          1105          61880  java.lang.invoke.BoundMethodHandle$Species_LLLLL (java.base@21.0.8)
 241:          1531          61240  kotlin.reflect.jvm.internal.impl.types.SimpleTypeImpl
 242:          3808          60928  com.fasterxml.jackson.databind.introspect.AnnotationMap
 243:          1902          60864  com.intellij.codeInspection.ex.ToolsImpl
 244:          1787          60704  [Lcom.intellij.util.xml.dom.XmlElement;
 245:          2523          60552  kotlin.reflect.jvm.internal.impl.storage.LockBasedStorageManager$MapBasedMemoizedFunction
 246:          2521          60504  com.intellij.util.indexing.impl.ValueContainerMap$$Lambda/0x00000098033efca0
 247:          1885          60320  com.intellij.codeInspection.ex.LocalInspectionToolWrapper
 248:          2490          59760  java.util.concurrent.CopyOnWriteArrayList (java.base@21.0.8)
 249:           742          59360  kotlin.reflect.jvm.internal.KMutableProperty1Impl
 250:          2464          59136  org.languagetool.chunking.ChunkTag
 251:          2463          59112  com.intellij.internal.statistic.eventLog.validator.rules.impl.EnumValidationRule
 252:          3679          58864  com.intellij.openapi.actionSystem.impl.ProxyShortcutSet
 253:          2261          57616  [Lai.grazie.rules.tree.NodeMatcher;
 254:           549          57096  kotlin.reflect.jvm.internal.impl.load.java.descriptors.JavaMethodDescriptor
 255:          2360          56640  com.intellij.platform.core.nio.fs.MultiRoutingFsPath
 256:           875          56000  java.lang.Class$ReflectionData (java.base@21.0.8)
 257:          3498          55968  java.util.concurrent.atomic.AtomicInteger (java.base@21.0.8)
 258:          1735          55520  com.intellij.ui.icons.RasterizedImageDataLoader
 259:          1722          55104  com.intellij.util.containers.IntKeyWeakValueHashMap$MyReference
 260:          1356          54240  java.lang.ref.Finalizer (java.base@21.0.8)
 261:           144          54144  com.intellij.psi.codeStyle.CommonCodeStyleSettings
 262:          1688          54016  java.lang.ThreadLocal$ThreadLocalMap$Entry (java.base@21.0.8)
 263:          2244          53856  com.intellij.indexing.shared.util.zipFs.UncompressedZipPath
 264:          1344          53760  com.intellij.serviceContainer.ServiceDescriptorInstanceInitializer
 265:          3327          53232  com.intellij.psi.AbstractFileViewProvider$VirtualFileContent
 266:          3327          53232  com.intellij.psi.PsiLock
 267:          3325          53200  com.intellij.psi.impl.file.impl.FileProviderMapImpl
 268:          1102          52896  com.intellij.openapi.editor.markup.AttributesFlyweight
 269:          1638          52416  sun.security.util.ObjectIdentifier (java.base@21.0.8)
 270:          2182          52368  com.intellij.util.keyFMap.ArrayBackedFMap
 271:          2179          52296  com.intellij.psi.impl.PsiParameterizedCachedValue$Soft
 272:          3254          52064  sun.reflect.generics.tree.ClassTypeSignature (java.base@21.0.8)
 273:           812          51968  kotlin.reflect.jvm.internal.impl.km.KmFunction
 274:           721          51912  java.util.ResourceBundle$CacheKey (java.base@21.0.8)
 275:          1605          51360  org.languagetool.rules.patterns.StringMatcher$3
 276:          3208          51328  com.intellij.psi.util.CachedValuesManager$NonPhysicalPsiHandlerProvider
 277:          2136          51264  [Lkotlin.reflect.jvm.internal.impl.types.TypeProjection;
 278:          2136          51264  kotlin.reflect.jvm.internal.impl.types.IndexedParametersSubstitution
 279:          1584          50688  java.lang.ClassValue$Entry (java.base@21.0.8)
 280:          1570          50240  com.intellij.indexing.shared.util.zipFs.UncompressedZipFileSystem$LightZipEntry
 281:          1256          50240  java.lang.Exception (java.base@21.0.8)
 282:          1253          50120  com.intellij.util.io.ResizeableMappedFile
 283:          3118          49888  org.jetbrains.plugins.textmate.language.syntax.TextMateCapture$Rule
 284:          2078          49872  kotlinx.coroutines.CoroutineName
 285:          2064          49536  com.intellij.util.CachedValueBase$DefaultData
 286:          2069          49392  [Ljava.lang.reflect.Type; (java.base@21.0.8)
 287:           765          48960  io.opentelemetry.sdk.metrics.internal.state.AsynchronousMetricStorage
 288:          2032          48768  java.util.ImmutableCollections$ListN (java.base@21.0.8)
